r,date,location,home,away,group,result
1,2018-06-14 15:00:00 +0000,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia,Group A,
1,2018-06-15 12:00:00 +0000,Ekaterinburg Stadium,Egypt,Uruguay,Group A,
1,2018-06-15 15:00:00 +0000,Saint Petersburg Stadium,Morocco,Iran,Group B,
1,2018-06-15 18:00:00 +0000,"Fisht Stadium, Sochi",Portugal,Spain,Group B,
1,2018-06-16 10:00:00 +0000,Kazan Arena,France,Australia,Group C,
1,2018-06-16 13:00:00 +0000,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,
1,2018-06-16 16:00:00 +0000,Saransk Stadium,Peru,Denmark,Group C,
1,2018-06-16 19:00:00 +0000,Kaliningrad Stadium,Croatia,Nigeria,Group D,
1,2018-06-17 12:00:00 +0000,Samara Stadium,Costa Rica,Serbia,Group E,
1,2018-06-17 15:00:00 +0000,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,
1,2018-06-17 18:00:00 +0000,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,
1,2018-06-18 12:00:00 +0000,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,
1,2018-06-18 15:00:00 +0000,"Fisht Stadium, Sochi",Belgium,Panama,Group G,
1,2018-06-18 18:00:00 +0000,Volgograd Stadium,Tunisia,England,Group G,
1,2018-06-19 12:00:00 +0000,Saransk Stadium,Colombia,Japan,Group H,
1,2018-06-19 15:00:00 +0000,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,
2,2018-06-19 18:00:00 +0000,Saint Petersburg Stadium,Russia,Egypt,Group A,
2,2018-06-20 12:00:00 +0000,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,
2,2018-06-20 15:00:00 +0000,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,
2,2018-06-20 18:00:00 +0000,Kazan Arena,Iran,Spain,Group B,
2,2018-06-21 12:00:00 +0000,Samara Stadium,Denmark,Australia,Group C,
2,2018-06-21 15:00:00 +0000,Ekaterinburg Stadium,France,Peru,Group C,
2,2018-06-21 18:00:00 +0000,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,
2,2018-06-22 12:00:00 +0000,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,
2,2018-06-22 15:00:00 +0000,Volgograd Stadium,Nigeria,Iceland,Group D,
